id,address,lat,lon,damage_str,structure_type,target
4410014015,441 HILLSIDE LN LOS ANGELES CA 90402,34.03292276,-118.51867303,No Damage,Single Residence,0.0
5833010027,3318 BELLAIRE DR ALTADENA CA 91001,34.20121047,-118.14276547,Destroyed (>50%),Single Residence,1.0
5840005028,401 E MARIPOSA ST ALTADENA CA 91001,34.1912204,-118.14051672,Destroyed (>50%),Single Residence,1.0
4451015016,3375 RAMBLA PACIFICO ST MALIBU CA 90265,34.04202771,-118.64293762,Major (26-50%),Single Residence,1.0
4450007032,20748 PACIFIC COAST HWY MALIBU CA 90265,34.03714369,-118.62657935,No Damage,Single Residence,0.0
5847017012,1975 HILL AVE ALTADENA CA 91001,34.17955269,-118.12181252,No Damage,Single Residence,0.0
5845027005,828 MORADA PL ALTADENA CA 91001,34.1808152,-118.13344961,No Damage,Single Residence,0.0
4411023022,14938 LA CUMBRE DR LOS ANGELES CA 90272,34.03335524,-118.5218773,No Damage,Single Residence,0.0
5765033005,276 MONTE PL ARCADIA CA 91006,34.17652591,-118.02246724,No Damage,Single Residence,0.0
4425001002,1678 SAN ONOFRE DR LOS ANGELES CA 90272,34.06216555,-118.50221175,No Damage,,0.0
5841004032,588 WAPELLO ST ALTADENA CA 91001,34.19812266,-118.13277093,Destroyed (>50%),Single Residence,1.0
5846003002,1112 MARCHETA ST ALTADENA CA 91001,34.1876235,-118.12769075,Destroyed (>50%),Single Residence,1.0
5835002038,55 W MANOR ST ALTADENA CA 91001,34.19347142,-118.14915143,Destroyed (>50%),Single Residence,1.0
5847033016,1746 LA PAZ RD ALTADENA CA 91001,34.18216673,-118.11455281,Affected (1-9%),Single Residence,0.0
5833011003,3378 FAIR OAKS AVE ALTADENA CA 91001,34.20252186,-118.14328916,Destroyed (>50%),Single Residence,1.0
5844017008,1337 E ALTADENA DR ALTADENA CA 91001,34.19077292,-118.12271372,Destroyed (>50%),Single Residence,1.0
5846006038,1850 E ALTADENA DR ALTADENA CA 91001,34.19034214,-118.11266743,No Damage,Single Residence,0.0
5835039013,51 E TERRACE ST ALTADENA CA 91001,34.19359942,-118.14639292,Destroyed (>50%),Single Residence,1.0
5847020013,2219 HILL AVE ALTADENA CA 91001,34.1835691,-118.12206125,Affected (1-9%),Single Residence,0.0
5853007010,2578 NEW YORK DR ALTADENA CA 91001,34.17430526,-118.09907355,No Damage,Single Residence,0.0
5835010022,135 VENTURA ST ALTADENA CA 91001,34.18948956,-118.15279837,Destroyed (>50%),Single Residence,1.0
4413002022,16033 NORTHFIELD ST LOS ANGELES CA 90272,34.04648963,-118.53536451,No Damage,Single Residence,0.0
5829006025,3301 DABNEY AVE ALTADENA CA 91001,34.20165078,-118.15587313,Destroyed (>50%),Single Residence,1.0
4419005031,649 JACON WAY LOS ANGELES CA 90272,34.04821254,-118.5477841,Destroyed (>50%),Single Residence,1.0
5845005022,1029 E MENDOCINO ST ALTADENA CA 91001,34.18610552,-118.12935468,Destroyed (>50%),Single Residence,1.0
5844007009,1166 MENLO DR ALTADENA CA 91001,34.19440809,-118.12657078,Destroyed (>50%),Single Residence,1.0
5835035002,188 E MARIPOSA ST ALTADENA CA 91001,34.19138817,-118.14458156,Destroyed (>50%),Single Residence,1.0
5842023012,591 SUNSET DR ALTADENA CA 91001,34.20273791,-118.13138775,Destroyed (>50%),Single Residence,1.0
5862011006,3840 FAIR OAKS AVE ALTADENA CA 91001,34.20913073,-118.14034993,No Damage,Nonresidential Commercial,0.0
5831019016,293 E LOMA ALTA DR ALTADENA CA 91001,34.20389132,-118.13731892,Destroyed (>50%),Single Residence,1.0
5845020011,866 E MENDOCINO ST ALTADENA CA 91001,34.18558216,-118.13225681,Destroyed (>50%),Multiple Residence,1.0
4450013077,20418 ROCA CHICA DR MALIBU CA 90265,34.03949856,-118.61500993,Destroyed (>50%),Single Residence,1.0
5844006022,2857 MAIDEN LN ALTADENA CA 91001,34.19429351,-118.1275953,Destroyed (>50%),Single Residence,1.0
5840021017,2391 SANTA ROSA AVE ALTADENA CA 91001,34.18650435,-118.13807109,No Damage,Single Residence,0.0
4422028014,1038 EL MEDIO PL LOS ANGELES CA 90272,34.05299692,-118.53081632,No Damage,Single Residence,0.0
4423020012,946 GALLOWAY ST LOS ANGELES CA 90272,34.04693036,-118.52073356,Destroyed (>50%),Single Residence,1.0
5829006900,3330 LINCOLN AVE ALTADENA CA 91001,34.20073203,-118.15802863,Destroyed (>50%),Nonresidential Commercial,1.0
4412017023,551 VIA DE LA PAZ LOS ANGELES CA 90272,34.03949759,-118.5293258,Destroyed (>50%),Single Residence,1.0
5847032035,1750 VISTILLAS RD ALTADENA CA 91001,34.18120933,-118.11445183,No Damage,Single Residence,0.0
5847001008,1952 MAIDEN LN ALTADENA CA 91001,34.17933552,-118.12821579,No Damage,Single Residence,0.0
4412006033,763 HAVERFORD AVE LOS ANGELES CA 90272,34.04468801,-118.52933062,Destroyed (>50%),Single Residence,1.0
4448019023,2373 TUNA CANYON RD MALIBU CA 90290,34.0693721,-118.60978882,Affected (1-9%),Single Residence,0.0
4443006003,18441 KINGSPORT DR MALIBU CA 90265,34.04307829,-118.57689705,Destroyed (>50%),Single Residence,1.0
4420014004,971 CHATTANOOGA AVE LOS ANGELES CA 90272,34.05194053,-118.54279666,Major (26-50%),Single Residence,1.0
4491005004,3491 MANDEVILLE CANYON RD LOS ANGELES CA 90049,34.11073342,-118.50055133,No Damage,Single Residence,0.0
5857026012,2303 MIDWICK DR ALTADENA CA 91001,34.18459062,-118.10438247,No Damage,Single Residence,0.0
4416016065,257 MONTE GRIGIO DR LOS ANGELES CA 90272,34.04467771,-118.56312176,No Damage,Single Residence,0.0
4415009004,16777 EDGAR ST LOS ANGELES CA 90272,34.04619635,-118.54593154,Destroyed (>50%),Single Residence,1.0
