OBJECTID,AIN,APN,SitusHouseNo,SitusFraction,SitusDirection,SitusUnit,SitusStreet,SitusAddress,SitusCity,SitusZIP,SitusFullAddress,TaxRateArea,TaxRateCity,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,DesignType1,YearBuilt1,EffectiveYear1,Units1,Bedrooms1,Bathrooms1,SQFTmain1,DesignType2,YearBuilt2,EffectiveYear2,Units2,Bedrooms2,Bathrooms2,SQFTmain2,DesignType3,YearBuilt3,EffectiveYear3,Units3,Bedrooms3,Bathrooms3,SQFTmain3,DesignType4,YearBuilt4,EffectiveYear4,Units4,Bedrooms4,Bathrooms4,SQFTmain4,DesignType5,YearBuilt5,EffectiveYear5,Units5,Bedrooms5,Bathrooms5,SQFTmain5,RecDate,RecDocNo,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_RealEstateExemp,Roll_PersPropExemp,Roll_FixtureExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,LastSaleAmount,QualityClass1,QualityClass2,QualityClass3,QualityClass4,QualityClass5,LegalDescLine1,LegalDescLine2,LegalDescLine3,LegalDescLine4,LegalDescLine5,LegalDescLineLast,LegalDescription,SpatialChangeDate,ParcelCreateDate,ParcelTypeCode,Assr_Map,Assr_Index_Map,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,Fire_Name,* Damage,Structure Category,Total_Units,GlobalID,SHAPE__Area,SHAPE__Length,Tot_SqFt,DINS_Count,LCITY,COMMUNITY,BSD_Tag,TT_Eligible,Debris_Cleared,ROE_Number,FSO_URL,ROE_Status,Permit_Status,elibility_calc
97810,4412013017,4412-013-017,677, , , ,VIA DE LA PAZ,677 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,677 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0130,2007,2007,1,5,5,3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020603,1259191,2024,1448329,1001878,0,0,0,0,0,0,2002,2007,20020603,1000010,D11B ,,,,,TRACT,,,,,# 9300 N 56 FT OF LOT   16 BLK   22,TRACT # 9300 N 56 FT OF LOT   16 BLK   22,2/11/2019 10:14:39 AM,0,0,4412-013,4412-NDX,34.04256777,-118.52860947,6401526.64,1838294.49,"34.042568, -118.528609",Palisades,Destroyed (>50%),Single Residence,1,2160b65a-52ee-4480-b7e4-3298de859228,7834.8818359375,391.835746433588,3708,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TT-LAC01520,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-017_FSO.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97811,4412013018,4412-013-018,671, , , ,VIA DE LA PAZ,671 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,671 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0110,1941,1956,1,3,3,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20221012,981305,2024,2585904,646476,0,0,0,0,0,0,2023,2023,20221012,3169031,D75B ,,,,,TRACT # 9300 SW 5 FT,,,,,OF LOT 16 AND ALL OF LOT   17 BLK   22,TRACT # 9300 SW 5 FT OF LOT 16 AND ALL OF LOT   17 BLK   22,2/11/2019 10:14:39 AM,0,0,4412-013,4412-NDX,34.04241847,-118.52864679,6401515.04928125,1838240.21586535,"34.042418, -118.528647",Palisades,Destroyed (>50%),Single Residence,1,8bd1c99b-6044-444c-b593-6347bc619480,7696.912109375,389.862506421896,2234,1,Los Angeles,Pacific Palisades,,Eligible from DINS,Yes,Abt-00001,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-018_FSO.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97812,4412013019,4412-013-019,667, , , ,VIA DE LA PAZ,667 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,667 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0120,1946,1962,1,3,3,2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20220511,514003,2024,718537,437981,0,0,7000,0,0,0,1997,1997,19970103,9,D7C  ,,,,,TRACT # 9300 LOT   18 BLK   22,,,,,,TRACT # 9300 LOT   18 BLK   22,2/11/2019 10:14:40 AM,0,0,4412-013,4412-NDX,34.04227722,-118.52868207,6401504.09196671,1838188.86981524,"34.042277, -118.528682",Palisades,Destroyed (>50%),Single Residence,1,5ede8a2a-a550-4655-bf5a-9bcbfcc9a1a0,6997.078125,379.879363752977,2403,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TT-LAC03583,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-019_FSO_Withdrawn.pdf,Opt-Out and Manage Cleanup Independently,Finaled,Eligible Parcels
97813,4412013020,4412-013-020,659, , , ,VIA DE LA PAZ,659 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,659 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0121,1996,1996,1,5,4,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211123,1739318,2024,4577760,1716660,0,0,0,0,0,0,2022,2022,20211123,6050060,D85D ,,,,,TRACT,,,,,# 9300 LOTS 19 AND LOT   20 BLK   22,TRACT # 9300 LOTS 19 AND LOT   20 BLK   22,2/11/2019 10:14:39 AM,0,0,4412-013,4412-NDX,34.04207544,-118.52873245,6401488.44144567,1838115.51976006,"34.042075, -118.528732",Palisades,Destroyed (>50%),Single Residence,1,74bbbf5a-35cb-489a-8ec1-7dfab6cd8529,13993.533203125,479.883094576039,3680,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TT-LAC01270,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-020_FSO_v2.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97814,4412013021,4412-013-021,651, , , ,VIA DE LA PAZ,651 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,651 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0122,1946,1965,1,3,2,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180702,659921,2024,183648,219899,0,0,7000,0,0,0,1977,1977,19761201,9,D7B  ,,,,,TRACT # 9300 LOT   21 BLK   22,,,,,,TRACT # 9300 LOT   21 BLK   22,2/11/2019 10:14:40 AM,0,0,4412-013,4412-NDX,34.04187366,-118.52878288,6401472.77752825,1838042.17088144,"34.041874, -118.528783",Palisades,Destroyed (>50%),Single Residence,1,846d0abe-ca8f-4157-beb7-493895e5a04c,6996.951171875,379.874899566196,2402,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TTMS-LAC03798,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-021_FSO.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97815,4412013022,4412-013-022,647, , , ,VIA DE LA PAZ,647 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,647 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0120,1950,1971,1,4,3,3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20221201,1123724,2024,1831104,457776,0,0,0,0,0,0,2022,2022,20220121,9,D7B  ,,,,,TRACT # 9300 LOT   22 BLK   22,,,,,,TRACT # 9300 LOT   22 BLK   22,2/11/2019 10:14:39 AM,0,0,4412-013,4412-NDX,34.04173914,-118.52881646,6401462.34943867,1837993.26893369,"34.041739, -118.528816",Palisades,Destroyed (>50%),Single Residence,1,f37dea73-6104-4589-8e1b-4220e934beaa,6997.3486328125,379.886972698478,3207,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TT-LAC00448,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-022_FSO.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97816,4412013023,4412-013-023,641, , , ,VIA DE LA PAZ,641 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,641 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0200,02,Residential,Two Units,0100,1942,1942,1,2,1,598,0120,1942,1942,1,5,3,2379,,,,,,,,,,,,,,,,,,,,,,20210419,615643,2024,418509,251092,1000,0,0,0,0,0,1982,1982,19810332,9,D5A  ,D75B ,,,,TRACT # 9300,,,,,LOT 23 AND NE 25 FT OF LOT   24 BLK   22,TRACT # 9300 LOT 23 AND NE 25 FT OF LOT   24 BLK   22,2/11/2019 10:14:39 AM,0,0,4412-013,4412-NDX,34.041571,-118.52885848,6401449.29629641,1837932.14711964,"34.041571, -118.528858",Palisades,Destroyed (>50%),Single Residence,2,fc9d25bb-6f58-4e23-81fd-818dfa5d82b4,10495.57421875,429.885070781452,2977,2,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TT-LAC04590,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-023_FSO.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97817,4412013024,4412-013-024,631, , , ,VIA DE LA PAZ,631 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,631 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0123,1923,1947,1,5,5,3564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180531,540948,2024,3257313,920902,0,0,0,0,0,0,2018,2018,20171013,9,D9B  ,,,,,TRACT # 9300 SW 25 FT,,,,,OF LOT 24 AND ALL OF LOT   25 BLK   22,TRACT # 9300 SW 25 FT OF LOT 24 AND ALL OF LOT   25 BLK   22,2/11/2019 10:14:40 AM,0,0,4412-013,4412-NDX,34.04136923,-118.52890889,6401433.6387086,1837858.79939688,"34.041369, -118.528909",Palisades,Destroyed (>50%),Single Residence,1,6d2635e1-f893-45a2-a16a-9b7e779c95eb,10496.8076171875,429.904952497147,3564,2,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TT-OptOut20103,,Opt-Out and Manage Cleanup Independently,Finaled,Eligible Parcels
97818,4412013025,4412-013-025,623, , , ,VIA DE LA PAZ,623 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,623 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0110,1987,1993,1,3,4,3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190523,474249,2024,777838,575754,0,0,7000,0,0,0,1988,1994,19871028,9,D95C ,,,,,TRACT # 9300 LOT   26 BLK   22,,,,,,TRACT # 9300 LOT   26 BLK   22,2/11/2019 10:14:52 AM,0,0,4412-013,4412-NDX,34.04120107,-118.5289531,6401419.88662726,1837797.675786,"34.041201, -118.528953",Palisades,Destroyed (>50%),Single Residence,1,95c68c01-5802-421f-9a04-3bbc4fd198af,7064.7822265625,385.290900156026,3504,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TTMS-LAC01659,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-025_FSO.pdf,Final Sign Off - Complete,NA,Eligible Parcels
97819,4412013026,4412-013-026,621, , , ,VIA DE LA PAZ,621 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,621 VIA DE LA PAZ LOS ANGELES CA 90272,00067,LOS ANGELES,0,,,0100,01,Residential,Single,0110,1940,1940,1,3,2,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160719,843437,2024,251448,307112,0,0,7000,0,0,0,1984,1984,19840106,9,D7B  ,,,,,TRACT # 9300 LOT   27 BLK   22,,,,,,TRACT # 9300 LOT   27 BLK   22,2/11/2019 10:14:39 AM,0,0,4412-013,4412-NDX,34.04106879,-118.52900295,6401404.566648,1837749.61463464,"34.041069, -118.529003",Palisades,Destroyed (>50%),Single Residence,1,7f4b34e7-dafb-414a-ae16-21a52e4c115a,7557.9619140625,403.83179759955,1522,1,Los Angeles,Pacific Palisades,,Eligible from DINS,NA,TTMS-LAC05587,https://pwgis.blob.core.windows.net/epd/Debris_Removal/4412-013-026_FSO_v2.pdf,Final Sign Off - Complete,NA,Eligible Parcels
